DistrictId|PartnerId|TotalAmount|TranCount|NetMargin|MaxDateTran|MaxDateIndex|F1|F2|Segment|CentroidID|F1LOG|F0LOG
1048608|8395169|12.49|1|3.4883|20160813|226|0.30719925762466743|0.5213376780751547|LOWER RANGE CUSTOMERS|400|1.2494145115224682|2.5249283241374862
1048608|8377038|94.6|4|26.3716|20160516|137|0.4852931997376736|0.6596179184527282|AVERAGE CUSTOMERS|300|3.272287673534022|4.549657476057832
1048608|5794966|36.99|1|7.0617|20160820|233|0.40269846388832375|0.5695488498417993|AVERAGE CUSTOMERS|300|1.954685815720254|3.610647605844363
1048608|7720423|7.6|1|1.0452|20160827|240|0.26350278485711154|0.43895178555721914|LOWER RANGE CUSTOMERS|400|0.04420825466432028|2.028148247292285
1048608|3042137|29.49|2|9.8599|20160801|214|0.3827671841505855|0.592366192747677|AVERAGE CUSTOMERS|300|2.288476026575284|3.3840512228271846
1048608|7736278|178.6|7|45.3774|20161104|309|0.541190617682449|0.6967177988115516|GOOD CUSTOMERS|200|3.8150141837482363|5.185148668442399
1048608|8813399|95.99|1|25.2517|20160718|200|0.48657622319726673|0.6566515636660775|AVERAGE CUSTOMERS|300|3.228893480187699|4.564244019375446
1048608|4814141|274.26|5|44.5551|20161223|358|0.5789188537268471|0.6954676917851428|GOOD CUSTOMERS|200|3.7967266254791774|5.614076561571708
1048608|5871253|1252.32|28|335.2555|20161229|364|0.7125007172850975|0.8334261790660559|MOST VALUED CUSTOMERS|100|5.814892927694629|7.132753110056528
1048608|6606371|1384.15|32|407.7035|20161222|357|0.7213044320983812|0.8468003003879238|MOST VALUED CUSTOMERS|100|6.010540194532044|7.2328415118076546
1048608|8868235|22.99|1|7.8015|20160812|225|0.3608660097920674|0.5763594048762329|LOWER RANGE CUSTOMERS|400|2.0543160228991|3.1350593387750902
1048608|3512853|405.96|7|84.0419|20161207|342|0.613414597816869|0.7388471292830159|GOOD CUSTOMERS|200|4.431315484003007|6.006254632580617
1048608|7642596|877.17|12|163.9706|20160726|208|0.6811825745372853|0.7845359027894617|MOST VALUED CUSTOMERS|100|5.0996871434610345|6.776700816232507
